TitleID,TrainerTitle
1,PKMN Trainer
2,Clerk
3,Scientist
4,Janitor
5,Dancer
6,Team Plasma
7,GAME FREAK
8,Harlequin
9,Leader
10,Psychic
11,Lass
12,Pokefan
13,Nurse
14,Ace Trainer
15,Hiker
16,Doctor
17,Youngster
18,Worker
19,Backpacker
20,Pokemon Ranger
21,Motorcyclist
22,Black Belt
23,Battle Girl
24,Pilot
25,Fisherman
26,Parasol Lady
27,School Kid
28,Lady
29,Rich Boy
30,Veteran
31,Preschooler
32,Twins
33,Elite Four
34,Nursery Aide
35,Pokemon Breeder
36,Baker
37,Musician
38,Artist
39,Roughneck
40,Hooligans
41,Backers
42,Gentleman
43,Socialite
44,Policeman
45,Cyclist
46,Swimmer
47,Maid
48,Waitress
49,Waiter
50,The Riches
51,Champion
